Object ID,Title,Date,Materials,Culture,Place,Department,Object Name,Measurements,Classification,Total Images,Primary Image URL,Additional Images URLs
444604,Tray,late 13th–early 14th century,Brass; engraved and inlaid with silver and black compound,,Egypt,Islamic Art,Tray,"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Diameter': 76.8, 'Height': 3.81}}]",Metal,25,https://images.metmuseum.org/CRDImages/is/original/DP241056.jpg,https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604b.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604c.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604d.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604e.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604f.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604g.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604h.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604i.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604j.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604l.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604k.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604m.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604o.JPG;https://images.metmuseum.org/CRDImages/is/original/wb-91.1.604n.JPG;https://images.metmuseum.org/CRDImages/is/original/DP241082.jpg;https://images.metmuseum.org/CRDImages/is/original/DP-25749-006.jpg;https://images.metmuseum.org/CRDImages/is/original/DP-25749-005.jpg;https://images.metmuseum.org/CRDImages/is/original/DP-25749-004.jpg;https://images.metmuseum.org/CRDImages/is/original/DP-25749-003.jpg;https://images.metmuseum.org/CRDImages/is/original/DP-25749-002.jpg;https://images.metmuseum.org/CRDImages/is/original/DP-25749-001.jpg;https://images.metmuseum.org/CRDImages/is/original/DP203.jpg;https://images.metmuseum.org/CRDImages/is/original/DP22.jpg
546747,"Statuette of Osiris with the epithets Neb Ankh and Khentyimentiu, donated by Padihorpare",ca. 588–526 BC,"Cupreous metal, gold leaf",,Egypt,Egyptian Art,"Statuette, Osiris, Padihorpere","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 4.2, 'Height': 29, 'Width': 6.2}}]",,6,https://images.metmuseum.org/CRDImages/eg/original/56.16.2_EGDP022582.jpg,https://images.metmuseum.org/CRDImages/eg/original/56.16.2_EGDP022583.jpg;https://images.metmuseum.org/CRDImages/eg/original/56.16.2_EGDP022584.jpg;https://images.metmuseum.org/CRDImages/eg/original/56.16.2_EGDP022585.jpg;https://images.metmuseum.org/CRDImages/eg/original/56.16.2_EGDP022586.jpg;https://images.metmuseum.org/CRDImages/eg/original/56.16.2_EGDP022587.jpg
447006,Mosque Lamp of Amir Qawsun,ca. 1329–35,"Glass, colorless with brown tinge; blown, blown applied foot, enameled and gilded",,Egypt,Islamic Art,Mosque lamp,"[{'elementName': 'Other', 'elementDescription': 'Diam. with handles', 'elementMeasurements': {'Diameter': 26.1938}}, {'elementName': 'Other', 'elementDescription': 'Maximum Diameter', 'elementMeasurements': {'Diameter': 25.5588}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 35.8776}}]",Glass,9,https://images.metmuseum.org/CRDImages/is/original/DP214293.jpg,https://images.metmuseum.org/CRDImages/is/original/DP214294.jpg;https://images.metmuseum.org/CRDImages/is/original/sf17-190-991b.jpg;https://images.metmuseum.org/CRDImages/is/original/DT2886.jpg;https://images.metmuseum.org/CRDImages/is/original/h1_17.190.991.jpg;https://images.metmuseum.org/CRDImages/is/original/DP214291.jpg;https://images.metmuseum.org/CRDImages/is/original/DP214292.jpg;https://images.metmuseum.org/CRDImages/is/original/sf17-190-991a.jpg;https://images.metmuseum.org/CRDImages/is/original/38884.jpg
